PMID,Author,Title,Journal,Year,Abstract,DOI
39241044,"['Kang, Sohee', 'Shon, Byungeun', 'Park, Eun Young', 'Jeong, Sungmoon', 'Kim, Eun-Kyong']",Diagnostic accuracy of dental caries detection using ensemble techniques in deep learning with intraoral camera images.,PloS one,2024,"Camera image-based deep learning (DL) techniques have achieved promising results in dental caries screening. To apply the intraoral camera image-based DL technique for dental caries detection and assess its diagnostic performance, we employed the ensemble technique in the image classification task. 2,682 intraoral camera images were used as the dataset for image classification according to dental caries presence and caries-lesion localization using DL models such as ResNet-50, Inception-v3, Inception-ResNet-v2, and Faster R-convolutional neural network according to diagnostic study design. 534 participants whose mean age [SD] was 47.67 [±13.94] years were enrolled. The dataset was divided into training (56.0%), validation (14.0%), and test subset (30.0%) annotated by one experienced dentist as a reference standard about dental caries detection and lesion location. The confusion matrix, area under the receiver operating characteristic curve (AUROC), and average precision (AP) were evaluated for performance analysis. In the end-to-end dental caries image classification, the ensemble DL models had consistently improved performance, in which as the best results, the ensemble model of Inception-ResNet-v2 achieved 0.94 of AUROC and 0.97 of AP. On the other hand, the explainable model achieved 0.91 of AUROC and 0.96 of AP after the ensemble application. For dental caries classification using intraoral camera images, the application of ensemble techniques exhibited consistently improved performance regardless of the DL models. Furthermore, the trial to create an explainable DL model based on carious lesion detection yielded favorable results.",https://doi.org/10.1371/journal.pone.0310004
39232939,"['Talib, Manar Abu', 'Moufti, Mohammad Adel', 'Nasir, Qassim', 'Kabbani, Yousuf', 'Aljaghber, Dana', 'Afadar, Yaman']",Transfer Learning-Based Classifier to Automate the Extraction of False X-Ray Images From Hospital's Database.,International dental journal,2024 Sep 3,"BACKGROUND: During preclinical training, dental students take radiographs of acrylic (plastic) blocks containing extracted patient teeth. With the digitisation of medical records, a central archiving system was created to store and retrieve all x-ray images, regardless of whether they were images of teeth on acrylic blocks, or those from patients. In the early stage of the digitisation process, and due to the immaturity of the data management system, numerous images were mixed up and stored in random locations within a unified archiving system, including patient record files. Filtering out and expunging the undesired training images is imperative as manual searching for such images is problematic. Hence the aim of this stidy was to differentiate intraoral images from artificial images on acrylic blocks. METHODS: An artificial intelligence (AI) solution to automatically differentiate between intraoral radiographs taken of patients and those taken of acrylic blocks was utilised in this study. The concept of transfer learning was applied to a dataset provided by a Dental Hospital. RESULTS: An accuracy score, F1 score, and a recall score of 98.8%, 99.2%, and 100%, respectively, were achieved using a VGG16 pre-trained model. These results were more sensitive compared to those obtained initally using a baseline model with 96.5%, 97.5%, and 98.9% accuracy score, F1 score, and a recall score respectively. CONCLUSIONS: The proposed system using transfer learning was able to accurately identify ""fake"" radiographs images and distinguish them from the real intraoral images.",https://doi.org/10.1016/j.identj.2024.08.002
39230022,"['Cho, Sung Joo', 'Moon, Jun-Ho', 'Ko, Dong-Yub', 'Lee, Ju-Myung', 'Park, Ji-Ae', 'Donatelli, Richard E', 'Lee, Shin-Jae']",Orthodontic treatment outcome predictive performance differences between artificial intelligence and conventional methods.,The Angle orthodontist,2024 Sep 1,"OBJECTIVES: To evaluate an artificial intelligence (AI) model in predicting soft tissue and alveolar bone changes following orthodontic treatment and compare the predictive performance of the AI model with conventional prediction models. MATERIALS AND METHODS: A total of 1774 lateral cephalograms of 887 adult patients who had undergone orthodontic treatment were collected. Patients who had orthognathic surgery were excluded. On each cephalogram, 78 landmarks were detected using PIPNet-based AI. Prediction models consisted of 132 predictor variables and 88 outcome variables. Predictor variables were demographics (age, sex), clinical (treatment time, premolar extraction), and Cartesian coordinates of the 64 anatomic landmarks. Outcome variables were Cartesian coordinates of the 22 soft tissue and 22 hard tissue landmarks after orthodontic treatment. The AI prediction model was based on the TabNet deep neural network. Two conventional statistical methods, multivariate multiple linear regression (MMLR) and partial least squares regression (PLSR), were each implemented for comparison. Prediction accuracy among the methods was compared. RESULTS: Overall, MMLR demonstrated the most accurate results, while AI was least accurate. AI showed superior predictions in only 5 of the 44 anatomic landmarks, all of which were soft tissue landmarks inferior to menton to the terminal point of the neck. CONCLUSIONS: When predicting changes following orthodontic treatment, AI was not as effective as conventional statistical methods. However, AI had an outstanding advantage in predicting soft tissue landmarks with substantial variability. Overall, results may indicate the need for a hybrid prediction model that combines conventional and AI methods.",https://doi.org/10.2319/111823-767.1
39230019,"['Park, Ji-Ae', 'Moon, Jun-Ho', 'Lee, Ju-Myung', 'Cho, Sung Joo', 'Seo, Byoung-Moo', 'Donatelli, Richard E', 'Lee, Shin-Jae']",Does artificial intelligence predict orthognathic surgical outcomes better than conventional linear regression methods?,The Angle orthodontist,2024 Sep 1,"OBJECTIVES: To evaluate the performance of an artificial intelligence (AI) model in predicting orthognathic surgical outcomes compared to conventional prediction methods. MATERIALS AND METHODS: Preoperative and posttreatment lateral cephalograms from 705 patients who underwent combined surgical-orthodontic treatment were collected. Predictors included 254 input variables, including preoperative skeletal and soft-tissue characteristics, as well as the extent of orthognathic surgical repositioning. Outcomes were 64 Cartesian coordinate variables of 32 soft-tissue landmarks after surgery. Conventional prediction models were built applying two linear regression methods: multivariate multiple linear regression (MLR) and multivariate partial least squares algorithm (PLS). The AI-based prediction model was based on the TabNet deep neural network. The prediction accuracy was compared, and the influencing factors were analyzed. RESULTS: In general, MLR demonstrated the poorest predictive performance. Among 32 soft-tissue landmarks, PLS showed more accurate prediction results in 16 soft-tissue landmarks above the upper lip, whereas AI outperformed in six landmarks located in the lower border of the mandible and neck area. The remaining 10 landmarks presented no significant difference between AI and PLS prediction models. CONCLUSIONS: AI predictions did not always outperform conventional methods. A combination of both methods may be more effective in predicting orthognathic surgical outcomes.",https://doi.org/10.2319/111423-756.1
39227811,"['Quah, Bernadette', 'Zheng, Lei', 'Sng, Timothy Jie Han', 'Yong, Chee Weng', 'Islam, Intekhab']",Reliability of ChatGPT in automated essay scoring for dental undergraduate examinations.,BMC medical education,2024 Sep 3,"BACKGROUND: This study aimed to answer the research question: How reliable is ChatGPT in automated essay scoring (AES) for oral and maxillofacial surgery (OMS) examinations for dental undergraduate students compared to human assessors? METHODS: Sixty-nine undergraduate dental students participated in a closed-book examination comprising two essays at the National University of Singapore. Using pre-created assessment rubrics, three assessors independently performed manual essay scoring, while one separate assessor performed AES using ChatGPT (GPT-4). Data analyses were performed using the intraclass correlation coefficient and Cronbach's α to evaluate the reliability and inter-rater agreement of the test scores among all assessors. The mean scores of manual versus automated scoring were evaluated for similarity and correlations. RESULTS: A strong correlation was observed for Question 1 (r = 0.752-0.848, p < 0.001) and a moderate correlation was observed between AES and all manual scorers for Question 2 (r = 0.527-0.571, p < 0.001). Intraclass correlation coefficients of 0.794-0.858 indicated excellent inter-rater agreement, and Cronbach's α of 0.881-0.932 indicated high reliability. For Question 1, the mean AES scores were similar to those for manual scoring (p > 0.05), and there was a strong correlation between AES and manual scores (r = 0.829, p < 0.001). For Question 2, AES scores were significantly lower than manual scores (p < 0.001), and there was a moderate correlation between AES and manual scores (r = 0.599, p < 0.001). CONCLUSION: This study shows the potential of ChatGPT for essay marking. However, an appropriate rubric design is essential for optimal reliability. With further validation, the ChatGPT has the potential to aid students in self-assessment or large-scale marking automated processes.",https://doi.org/10.1186/s12909-024-05881-6
39227802,"['Kurt, Ayça', 'Günaçar, Dilara Nil', 'Şılbır, Fatma Yanık', 'Yeşil, Zeynep', 'Bayrakdar, İbrahim Şevki', 'Çelik, Özer', 'Bilgir, Elif', 'Orhan, Kaan']",Evaluation of tooth development stages with deep learning-based artificial intelligence algorithm.,BMC oral health,2024 Sep 3,"BACKGROUND: This study aims to evaluate the performance of a deep learning system for the evaluation of tooth development stages on images obtained from panoramic radiographs from child patients. METHODS: The study collected a total of 1500 images obtained from panoramic radiographs from child patients between the ages of 5 and 14 years. YOLOv5, a convolutional neural network (CNN)-based object detection model, was used to automatically detect the calcification states of teeth. Images obtained from panoramic radiographs from child patients were trained and tested in the YOLOv5 algorithm. True-positive (TP), false-positive (FP), and false-negative (FN) ratios were calculated. A confusion matrix was used to evaluate the performance of the model. RESULTS: Among the 146 test group images with 1022 labels, there were 828 TPs, 308 FPs, and 1 FN. The sensitivity, precision, and F1-score values of the detection model of the tooth stage development model were 0.99, 0.72, and 0.84, respectively. CONCLUSIONS: In conclusion, utilizing a deep learning-based approach for the detection of dental development on pediatric panoramic radiographs may facilitate a precise evaluation of the chronological correlation between tooth development stages and age. This can help clinicians make treatment decisions and aid dentists in finding more accurate treatment options.",https://doi.org/10.1186/s12903-024-04786-6
39227487,"['Berends, Bo', 'Vinayahalingam, Shankeeth', 'Baan, Frank', 'Flügge, Tabea', 'Maal, Thomas', 'Bergé, Stefaan', 'de Jong, Guide', 'Xi, Tong']",Automated condylar seating assessment using a deep learning-based three-step approach.,Clinical oral investigations,2024 Sep 4,"OBJECTIVES: In orthognatic surgery, one of the primary determinants for reliable three-dimensional virtual surgery planning (3D VSP) and an accurate transfer of 3D VSP to the patient in the operation room is the condylar seating. Incorrectly seated condyles would primarily affect the accuracy of maxillary-first bimaxillary osteotomies as the maxillary repositioning is dependent on the positioning of the mandible in the cone-beam computed tomography (CBCT) scan. This study aimed to develop and validate a novel tool by utilizing a deep learning algorithm that automatically evaluates the condylar seating based on CBCT images as a proof of concept. MATERIALS AND METHODS: As a reference, 60 CBCT scans (120 condyles) were labeled. The automatic assessment of condylar seating included three main parts: segmentation module, ray-casting, and feed-forward neural network (FFNN). The AI-based algorithm was trained and tested using fivefold cross validation. The method's performance was evaluated by comparing the labeled ground truth with the model predictions on the validation dataset. RESULTS: The model achieved an accuracy of 0.80, positive predictive value of 0.61, negative predictive value of 0.9 and F1-score of 0.71. The sensitivity and specificity of the model was 0.86 and 0.78, respectively. The mean AUC over all folds was 0.87. CONCLUSION: The innovative integration of multi-step segmentation, ray-casting and a FFNN demonstrated to be a viable approach for automating condylar seating assessment and have obtained encouraging results. CLINICAL RELEVANCE: Automated condylar seating assessment using deep learning may improve orthognathic surgery, preventing errors and enhancing patient outcomes in maxillary-first bimaxillary osteotomies.",https://doi.org/10.1007/s00784-024-05895-w
39223562,"['Noeldeke, Beatrice', 'Vassis, Stratos', 'Sefidroodi, Mohammedreza', 'Pauwels, Ruben', 'Stoustrup, Peter']",Comparison of deep learning models to detect crossbites on 2D intraoral photographs.,Head & face medicine,2024 Sep 2,"BACKGROUND: To support dentists with limited experience, this study trained and compared six convolutional neural networks to detect crossbites and classify non-crossbite, frontal, and lateral crossbites using 2D intraoral photographs. METHODS: Based on 676 photographs from 311 orthodontic patients, six convolutional neural network models were trained and compared to classify (1) non-crossbite vs. crossbite and (2) non-crossbite vs. lateral crossbite vs. frontal crossbite. The trained models comprised DenseNet, EfficientNet, MobileNet, ResNet18, ResNet50, and Xception. FINDINGS: Among the models, Xception showed the highest accuracy (98.57%) in the test dataset for classifying non-crossbite vs. crossbite images. When additionally distinguishing between lateral and frontal crossbites, average accuracy decreased with the DenseNet architecture achieving the highest accuracy among the models with 91.43% in the test dataset. CONCLUSIONS: Convolutional neural networks show high potential in processing clinical photographs and detecting crossbites. This study provides initial insights into how deep learning models can be used for orthodontic diagnosis of malocclusions based on intraoral 2D photographs.",https://doi.org/10.1186/s13005-024-00448-8
39223002,"['Watt, Matthew', 'Zhu, Steven', 'Deol, Navkiran', 'Ferraro, Nalton']",Beyond the Hype: Practical Artificial Intelligence Uses for Today's Oral and Maxillofacial Surgeons.,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,2024 Sep,,https://doi.org/10.1016/j.joms.2024.05.011
39222211,"['Garcovich, Daniele', 'Lipani, Erica', 'Aiuto, Riccardo', 'Alvarado Lorenzo, Alfonso', 'Adobes Martin, Milagros']",Application of digital workflow and technologies in clinical paediatric dentistry: a scoping review.,European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry,2024 Sep 2,"PURPOSE: The purpose of the present scoping review is to map the literature reporting on the application of digital workflows and digital technologies in the diagnosis, treatment, or management of dental conditions in paediatric patients. Furthermore, the review focuses on identifying possible knowledge gaps in the area and developing specific recommendations for future investigations. METHODS: An electronic search was performed on 3 databases up to July 2023. After the authors independently screened the retrieved articles, they extracted the data and assessed the risk of bias using the JBI (The Joanna Briggs Institute) critical appraisal tools and the Cochrane Risk of Bias 1 tool, depending on the study design assessed. RESULTS: After full-text assessment, 58 studies were identified that met the inclusion and exclusion criteria. The results were divided into two groups according to the study design: 36 were research articles, and 22 were case reports; only the research articles were included in the qualitative synthesis. The most common topic was Scanners/3 d digital model analysis (11 articles), followed by Digital Imaging (8 articles). Digital applications were also a popular topic, and tele-dentistry and artificial intelligence were also present in the included studies. CONCLUSION: Studies investigating the use of digital workflows and digital technologies in the diagnosis, treatment or management of dental conditions in paediatric dentistry are lacking. In general, future investigations should be based on higher quality studies; furthermore, the lack of studies on the clinical validation of digitally fabricated orthodontic devices and restorations in paediatric patients provides insights for future research.",https://doi.org/10.1007/s40368-024-00936-0
39219015,"['Delgado-Ruiz, Rafael', 'Kim, Amy S', 'Zhang, Hai', 'Sullivan, Diane', 'Awan, Kamran H', 'Stathopoulou, Panagiota G']","Generative Artificial Intelligence (Gen AI) in dental education: Opportunities, cautions, and recommendations.",Journal of dental education,2024 Sep 1,,https://doi.org/10.1002/jdd.13688
39159585,"['Cai, Jingyi', 'Han, RuiYing', 'Li, Junfu', 'Hao, Jin', 'Zhao, Zhihe', 'Jing, Dian']",Exploring mechanobiology network of bone and dental tissue based on Natural Language Processing.,Journal of biomechanics,2024 Sep,"Bone and cartilage tissues are physiologically dynamic organs that are systematically regulated by mechanical inputs. At cellular level, mechanical stimulation engages an intricate network where mechano-sensors and transmitters cooperate to manipulate downstream signaling. Despite accumulating evidence, there is a notable underutilization of available information, due to limited integration and analysis. In this context, we conceived an interactive web tool named MechanoBone to introduce a new avenue of literature-based discovery. Initially, we compiled a literature database by sourcing content from Pubmed and processing it through the Natural Language Toolkit project, Pubtator, and a custom library. We identified direct co-occurrence among entities based on existing evidence, archiving in a relational database via SQLite. Latent connections were then quantified by leveraging the Link Prediction algorithm. Secondly, mechanobiological pathway maps were generated, and an entity-pathway correlation scoring system was established through weighted algorithm based on our database, String, and KEGG, predicting potential functions of specific entities. Additionally, we established a mechanical circumstance-based exploration to sort genes by their relevance based on big data, revealing the potential mechanically sensitive factors in bone research and future clinical applications. In conclusion, MechanoBone enables: 1) interpreting mechanobiological processes; 2) identifying correlations and crosstalk among molecules and pathways under specific mechanical conditions; 3) connecting clinical applications with mechanobiological processes in bone research. It offers a literature mining tool with visualization and interactivity, facilitating targeted molecule navigation and prediction within the mechanobiological framework of bone-related cells, thereby enhancing knowledge sharing and big data analysis in the biomedical realm.",https://doi.org/10.1016/j.jbiomech.2024.112271
39159544,"['Chen, Haiwen', 'Qu, Zhiyuan', 'Tian, Yuan', 'Jiang, Ning', 'Qin, Yuan', 'Gao, Jie', 'Zhang, Ruoyan', 'Ma, Yanning', 'Jin, Zuolin', 'Zhai, Guangtao']",A cross-temporal multimodal fusion system based on deep learning for orthodontic monitoring.,Computers in biology and medicine,2024 Sep,"INTRODUCTION: In the treatment of malocclusion, continuous monitoring of the three-dimensional relationship between dental roots and the surrounding alveolar bone is essential for preventing complications from orthodontic procedures. Cone-beam computed tomography (CBCT) provides detailed root and bone data, but its high radiation dose limits its frequent use, consequently necessitating an alternative for ongoing monitoring. OBJECTIVES: We aimed to develop a deep learning-based cross-temporal multimodal image fusion system for acquiring root and jawbone information without additional radiation, enhancing the ability of orthodontists to monitor risk. METHODS: Utilizing CBCT and intraoral scans (IOSs) as cross-temporal modalities, we integrated deep learning with multimodal fusion technologies to develop a system that includes a CBCT segmentation model for teeth and jawbones. This model incorporates a dynamic kernel prior model, resolution restoration, and an IOS segmentation network optimized for dense point clouds. Additionally, a coarse-to-fine registration module was developed. This system facilitates the integration of IOS and CBCT images across varying spatial and temporal dimensions, enabling the comprehensive reconstruction of root and jawbone information throughout the orthodontic treatment process. RESULTS: The experimental results demonstrate that our system not only maintains the original high resolution but also delivers outstanding segmentation performance on external testing datasets for CBCT and IOSs. CBCT achieved Dice coefficients of 94.1 % and 94.4 % for teeth and jawbones, respectively, and it achieved a Dice coefficient of 91.7 % for the IOSs. Additionally, in the context of real-world registration processes, the system achieved an average distance error (ADE) of 0.43 mm for teeth and 0.52 mm for jawbones, significantly reducing the processing time. CONCLUSION: We developed the first deep learning-based cross-temporal multimodal fusion system, addressing the critical challenge of continuous risk monitoring in orthodontic treatments without additional radiation exposure. We hope that this study will catalyze transformative advancements in risk management strategies and treatment modalities, fundamentally reshaping the landscape of future orthodontic practice.",https://doi.org/10.1016/j.compbiomed.2024.109025
39139516,"['Jaiswal, Manojkumar', 'Mukhtar, Umer', 'Shakya, Kaushlesh Singh', 'Laddi, Amit', 'Singha, L Akash']",Computerised assessment-a novel approach for calculation of percentage of hypomineralized lesion on incisors and its correlation with aesthetic concern.,Journal of oral biology and craniofacial research,2024 Sep-Oct,"INTRODUCTION: Molar-incisor hypomineralization (MIH) is a localized, qualitative, demarcated enamel defect that affects first permanent molars (FPMs) and/or permanent incisors. The aim of present study was to introduce a novel computerised assessment process to detect and quantify the percentage opacity associated with MIH affected maxillary central incisors. METHODOLOGY: Children (8-16 years) enrolled in the primary study having mild (white/cream or yellow/brown) MIH lesion on fully erupted maxillary permanent central incisor. 50 standardised images of MIH lesions were captured in an artificially lit room with fixed parameters and were anonymized and securely stored. Images were analysed by AI-driven computerised software and generates output classifications via a sophisticated algorithm crafted using a meticulously annotated image dataset as reference through supervised machine learning (SML). For the validation of computerised assessment of MIH lesions, the percentage of demarked opacity was calculated using ADOBE PHOTOSHOP CS7. RESULTS: The percentage of MIH lesion was calculated through histogram plotting with the maxima ranging from 7.29 % to 71.21 % with the mean value of 34.51 %. The validation score ranged from 10.29 % to 67.27 % with the mean value of 35.32 %. The difference between the two was statistically not significant. Out of 50 patients; 11 patients had 1-30 % of surface affected with MIH and 2 had aesthetic concern; 24 had 30-60 % of surface affected and 13 had aesthetic concern; 15 had >60 % of surface affected and 12 had aesthetic concerns. CONCLUSIONS: The proposed approach exhibit sufficient quality to be integrated into a dental software addressing practical challenges encountered in daily clinical settings.",https://doi.org/10.1016/j.jobcr.2024.07.004
39096608,"['Kadi, Hocine', 'Kawczynski, Marzena', 'Bendjama, Sara', 'Flores, Jesus Zegarra', 'Leong-Hoi, Audrey', 'de Lastic, Hugues', 'Balbierer, Julien', 'Mabileau, Claire', 'Radoux, Jean Pierre', 'Grollemund, Bruno', 'Jaegle, Jean', 'Guebert, Christophe', 'Bisch, Bertrand', 'Bloch-Zupan, Agnès']",i-Dent: A virtual assistant to diagnose rare genetic dental diseases.,Computers in biology and medicine,2024 Sep,"Rare genetic diseases are difficult to diagnose and this translates in patient's diagnostic odyssey! This is particularly true for more than 900 rare diseases including orodental developmental anomalies such as missing teeth. However, if left untreated, their symptoms can become significant and disabling for the patient. Early detection and rapid management are therefore essential in this context. The i-Dent project aims to supply a pre-diagnostic tool to detect rare diseases with tooth agenesis of varying severity and pattern. To identify missing teeth, image segmentation models (Mask R-CNN, U-Net) have been trained for the automatic detection of teeth on patients' panoramic dental X-rays. Teeth segmentation enables the identification of teeth which are present or missing within the mouth. Furthermore, a dental age assessment is conducted to verify whether the absence of teeth is an anomaly or a characteristic of the patient's age. Due to the small size of our dataset, we developed a new dental age assessment technique based on the tooth eruption rate. Information about missing teeth is then used by a final algorithm based on the agenesis probabilities to propose a pre-diagnosis of a rare disease. The results obtained in detecting three types of genes (PAX9, WNT10A and EDA) by our system are very promising, providing a pre-diagnosis with an average accuracy of 72 %.",https://doi.org/10.1016/j.compbiomed.2024.108927
39050525,"['Mengi, Arvind', 'Singh, Ravnitya Pal', 'Mengi, Nancy', 'Kalgotra, Sneh', 'Singh, Abhishek']","A questionnaire study regarding knowledge, attitude and usage of artificial intelligence and machine learning by the orthodontic fraternity of Northern India.",Journal of oral biology and craniofacial research,2024 Sep-Oct,"AIM: The aim of the questionnaire study was to determine the knowledge, attitude, and perception of orthodontists regarding the role of artificial intelligence in dentistry in general and orthodontics specifically, and to determine the use of artificial intelligence by the orthodontist. METHODS: This cross-sectional study was done among the orthodontists of Northern India (clinicians, academicians, and postgraduates) through a web-based electronic survey using Google Forms. The study was designed to obtain information about AI and its basic usage in daily life, in dentistry, and in orthodontics from the participants. The options given were set specifically according to the Likert scale to maintain the correct format. The questionnaire was validated by one AI expert and one orthodontic expert, followed by pretesting in a smaller group of 25 orthodontists 2 weeks before circulation. A total of 100 orthodontists and postgraduate students responded to the pretested online questionnaire link for 31 questions in four sections sent via social media websites in a period of 3 months. RESULTS: The majority of the participants believe that AI could be useful in diagnosis and treatment planning and could revolutionize dentistry in general. 84 % of the orthodontic academicians and clinicians, including PG students, consider AI a useful tool for boosting performance and delivering quality care in orthodontics, and 72 % see AI as a partner rather than a competitor in the foreseeable future of dentistry. 90 % of the participants believe that the incorporation of AI into CBCT analysis can be a valuable addition to diagnosis and treatment planning. 86 % of total participants agree that AI can be helpful in decision-making for orthognathic surgery, and 84 % find AI useful for bone age assessment. CONCLUSIONS: It was observed that academicians are more aware of AI terminologies and usage as compared to PG students and clinicians. There is a consensus that AI is a useful tool for diagnosis and treatment planning, boosting performance and quality care in orthodontics. In spite of these facts, 62.5 % of clinicians and 40 % of PG students are still not using AI for cephalometric analysis (p = 0.033).",https://doi.org/10.1016/j.jobcr.2024.06.004
39002299,"['Piyarathne, N S', 'Liyanage, S N', 'Rasnayaka, R M S G K', 'Hettiarachchi, P V K S', 'Devindi, G A I', 'Francis, F B A H', 'Dissanayake, D M D R', 'Ranasinghe, R A N S', 'Pavithya, M B D', 'Nawinne, I B', 'Ragel, R G', 'Jayasinghe, R D']",A comprehensive dataset of annotated oral cavity images for diagnosis of oral cancer and oral potentially malignant disorders.,Oral oncology,2024 Sep,"OBJECTIVES: This study aims to address the critical gap of unavailability of publicly accessible oral cavity image datasets for developing machine learning (ML) and artificial intelligence (AI) technologies for the diagnosis and prognosis of oral cancer (OCA) and oral potentially malignant disorders (OPMD), with a particular focus on the high prevalence and delayed diagnosis in Asia. MATERIALS AND METHODS: Following ethical approval and informed written consent, images of the oral cavity were obtained from mobile phone cameras and clinical data was extracted from hospital records from patients attending to the Dental Teaching Hospital, Peradeniya, Sri Lanka. After data management and hosting, image categorization and annotations were done by clinicians using a custom-made software tool developed by the research team. RESULTS: A dataset comprising 3000 high-quality, anonymized images obtained from 714 patients were classified into four distinct categories: healthy, benign, OPMD, and OCA. Images were annotated with polygonal shaped oral cavity and lesion boundaries. Each image is accompanied by patient metadata, including age, sex, diagnosis, and risk factor profiles such as smoking, alcohol, and betel chewing habits. CONCLUSION: Researchers can utilize the annotated images in the COCO format, along with the patients' metadata, to enhance ML and AI algorithm development.",https://doi.org/10.1016/j.oraloncology.2024.106946
38972447,"['Neumayr, Julia', 'Frenkel, Elisabeth', 'Schwarzmaier, Julia', 'Ammar, Nour', 'Kessler, Andreas', 'Schwendicke, Falk', 'Kühnisch, Jan', 'Dujic, Helena']",External validation of an artificial intelligence-based method for the detection and classification of molar incisor hypomineralisation in dental photographs.,Journal of dentistry,2024 Sep,"OBJECTIVES: This ex vivo diagnostic study aimed to externally validate an open-access artificial intelligence (AI)-based model for the detection, classification, localisation and segmentation of enamel/molar incisor hypomineralisation (EH/MIH). METHODS: An independent sample of web images showing teeth with (n = 277) and without (n = 178) EH/MIH was evaluated by a workgroup of dentists whose consensus served as the reference standard. Then, an AI-based model was used for the detection of EH/MIH, followed by automated classification and segmentation of the findings (test method). The accuracy (ACC), sensitivity (SE), specificity (SP) and area under the curve (AUC) were determined. Furthermore, the correctness of EH/MIH lesion localisation and segmentation was evaluated. RESULTS: An overall ACC of 94.3 % was achieved for image-based detection of EH/MIH. Cross-classification of the AI-based class prediction and the reference standard resulted in an agreement of 89.2 % for all diagnostic decisions (n = 594), with an ACC between 91.4 % and 97.8 %. The corresponding SE and SP values ranged from 81.7 % to 92.8 % and 91.9 % to 98.7 %, respectively. The AUC varied between 0.894 and 0.945. Image size had only a limited impact on diagnostic performance. The AI-based model correctly predicted EH/MIH localisation in 97.3 % of cases. For the detected lesions, segmentation was fully correct in 63.4 % of all cases and partially correct in 33.9 %. CONCLUSIONS: This study documented the promising diagnostic performance of an open-access AI tool in the detection and classification of EH/MIH in external images. CLINICAL SIGNIFICANCE: Externally validated AI-based diagnostic methods could facilitate the detection of EH/MIH lesions in dental photographs.",https://doi.org/10.1016/j.jdent.2024.105228
38904564,"['Yacout, Yomna M', 'Eid, Farah Y', 'Tageldin, Mostafa A', 'Kassem, Hassan E']",Evaluation of the accuracy of automated tooth segmentation of intraoral scans using artificial intelligence-based software packages.,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",2024 Sep,"INTRODUCTION: The accuracy of tooth segmentation in intraoral scans is crucial for performing virtual setups and appliance fabrication. Hence, the objective of this study was to estimate and compare the accuracy of automated tooth segmentation generated by the artificial intelligence of dentOne software (DIORCO Co, Ltd, Yongin, South Korea) and Medit Ortho Simulation software (Medit Corp, Seoul, South Korea). METHODS: Twelve maxillary and mandibular pretreatment dental scan sets comprising 286 teeth were collected for this investigation from the archives of the Department of Orthodontics, Faculty of Dentistry, Alexandria University. The scans were imported as standard tessellation language files into both dentOne and Medit Ortho Simulation software. Automatic segmentation was run on each software. The number of successfully segmented teeth vs failed segmentations was recorded to determine the success rate of automated segmentation of each program. Evaluation of success and/or failure was based on the software's identification of the teeth and the quality of the segmentation. The mesiodistal tooth width measurements after segmentation using both tested software programs were compared with those measured on the unsegmented scan using Meshmixer software (Autodesk, San Rafael, Calif). The unsegmented scans served as the reference standard. RESULTS: A total of 288 teeth were examined. Successful identification rates were 99% and 98.3% for Medit and dentOne, respectively. Success rates of segmenting the lingual surfaces of incisors were significantly higher in Medit than in dentOne (93.7% vs 66.7%, respectively; P <0.001). DentOne overestimated the mesiodistal width of canines (0.11 mm, P = 0.032), premolars (0.22 mm, P < 0.001), and molars (0.14 mm, P = 0.043) compared with the reference standard, whereas Medit overestimated the mesiodistal width of premolars only (0.13 mm, P = 0.006). Bland-Altman plots showed that mesiodistal tooth width agreement limits exceeded 0.2 mm between each software and the reference standard. CONCLUSIONS: Both artificial intelligence-segmentation software demonstrated acceptable accuracy in tooth segmentation. There is a need for improvement in segmenting incisor lingual tooth surfaces in dentOne. Both software programs tended to overestimate the mesiodistal widths of segmented teeth, particularly the premolars. Artificial intelligence-segmentation needs to be manually adjusted by the operator to ensure accuracy. However, this still does not solve the problem of proximal surface reconstruction by the software.",https://doi.org/10.1016/j.ajodo.2024.05.015
